Slice,Count,Total Area,Average Size,%Area,Mean
H19.33.004-A12-GFAP_CA1-L_analysis.tif (RGB),2536,204160.076,80.505,0.672,255
H19.33.004-A12-GFAP_CA1-R_analysis.tif (RGB),2506,224910.134,89.749,0.895,255
H20.33.004-A12-GFAP_CA1-L_analysis.tif (RGB),2598,254459.214,97.944,1.562,255
H20.33.004-A12-GFAP_CA1-R_analysis.tif (RGB),2717,221179.160,81.406,0.646,255
H20.33.012-A12-GFAP_CA1-L_analysis.tif (RGB),726,59317.266,81.704,0.182,255
H20.33.012-A12-GFAP_CA1-R_analysis.tif (RGB),868,70466.020,81.182,0.182,255
H20.33.015-A12-GFAP_CA1-L_analysis.tif (RGB),1437,201731.168,140.384,0.924,255
H20.33.015-A12-GFAP_CA1-R_analysis.tif (RGB),2134,1240979.927,581.528,5.134,255
H20.33.016-A12-GFAP_CA1-L_analysis.tif (RGB),5600,1362855.819,243.367,4.289,255
H20.33.016-A12-GFAP_CA1-R_analysis.tif (RGB),4841,612807.513,126.587,1.829,255
H20.33.017-A12-GFAP_CA1-L_analysis.tif (RGB),640,55050.384,86.016,0.148,255
H20.33.017-A12-GFAP_CA1-R_analysis.tif (RGB),706,58073.502,82.257,0.181,255
H20.33.029-A12-GFAP_CA1-L_analysis.tif (RGB),1304,93469.408,71.679,0.314,255
H20.33.029-A12-GFAP_CA1-R_analysis.tif (RGB),198,11215.034,56.642,0.041,255
H20.33.031-A12-GFAP_CA1-L_analysis.tif (RGB),6515,1253334.534,192.377,6.000,255
H20.33.031-A12-GFAP_CA1-R_analysis.tif (RGB),4207,516544.921,122.782,1.765,255
H21.33.002-A12-GFAP_CA1-L_analysis.tif (RGB),4477,526118.349,117.516,3.090,255
H21.33.002-A12-GFAP_CA1-R_analysis.tif (RGB),8805,985715.842,111.950,3.479,255
H21.33.003-A12-GFAP_CA1-L_analysis.tif (RGB),6585,660788.422,100.348,1.532,255
H21.33.003-A12-GFAP_CA1-R_analysis.tif (RGB),3575,373324.178,104.426,1.032,255
H21.33.004-A12-GFAP_CA1-L_analysis.tif (RGB),572,41184.672,72.001,0.120,255
H21.33.004-A12-GFAP_CA1-R_analysis.tif (RGB),807,52226.614,64.717,0.139,255
H21.33.011-A12-GFAP_CA1-L_analysis.tif (RGB),1799,243666.253,135.445,0.611,255
H21.33.011-A12-GFAP_CA1-R_analysis.tif (RGB),1445,136486.886,94.455,0.349,255
H21.33.019-A12-GFAP_CA1-L_analysis.tif (RGB),8123,1447760.403,178.230,4.098,255
H21.33.019-A12-GFAP_CA1-R_analysis.tif (RGB),9845,1188053.816,120.676,3.104,255
H21.33.028-A12-GFAP_CA1-L_analysis.tif (RGB),349,21636.953,61.997,0.054,255
H21.33.028-A12-GFAP_CA1-R_analysis.tif (RGB),2345,241787.295,103.108,1.026,255
H21.33.029-A12-GFAP_CA1-L_analysis.tif (RGB),3734,632142.105,169.294,3.077,255
H21.33.029-A12-GFAP_CA1-R_analysis.tif (RGB),1025,75707.069,73.861,0.378,255
H21.33.038-A12-GFAP_CA1-L_analysis.tif (RGB),1376,117989.163,85.748,0.307,255
H21.33.038-A12-GFAP_CA1-R_analysis.tif (RGB),779,61141.621,78.487,0.227,255
